countryterritoryCode;countriesAndTerritories;CasosCovid;MuertesCovid;Poblacion_2019;TasaMortalidadCovid;GastoSalud_PIB;Doctores;MortalidadAdultos_Precovid
MAR;Morocco;399609;6624;36471766;18,2;5,5;7,6;74,1
AGO;Angola;16188;371;31825299;1,2;2,6;2,2;250,9
DOM;Dominican_Republic;154692;2361;10738957;22,0;5,8;14,6;168,6
AFG;Afghanistan;49273;1971;38041757;5,2;9,5;2,7;241,3
ALB;Albania;48530;1003;2862427;35,0;5,1;14,3;99,5
ARE;United_Arab_Emirates;184949;617;9770526;6,3;3,7;19,6;73,5
ARG;Argentina;1498160;40766;44780675;91,0;9,7;39,8;115,5
ARM;Armenia;148682;2503;2957728;84,6;9,9;31,0;128,7
ATG;Antigua_and_Barbuda;148;4;97115;4,1;5,4;27,7;126,9
AUS;Australia;28031;908;25203200;3,6;8,9;34,7;61,2
AUT;Austria;320036;4400;8858775;49,7;10,3;50,2;67,3
AZE;Azerbaijan;175874;1922;10047719;19,1;3,3;35,0;124,7
BDI;Burundi;729;1;11530577;0,0;8,2;0,6;304,7
BEL;Belgium;608001;17951;11455519;156,7;10,4;32,9;76,1
BEN;Benin;3090;44;11801151;0,4;2,9;0,6;250,0
BFA;Burkina_Faso;4030;71;20321383;0,3;6,0;0,6;267,1
BGD;Bangladesh;490533;7052;163046173;4,3;2,4;4,8;136,9
BGR;Bulgaria;179449;5688;7000039;81,3;7,4;39,6;137,5
BHR;Bahrain;89143;348;1641164;21,2;4,3;9,5;61,6
BHS;Bahamas;7674;163;389486;41,9;5,7;21,2;162,1
BIH;Bosnia_and_Herzegovina;101117;3336;3300998;101,1;9,2;19,9;96,6
BLR;Belarus;160295;1263;9452409;13,4;5,6;46,5;189,6
BLZ;Belize;9295;195;390351;50,0;5,7;9,8;181,3
BOL;Bolivia;147150;9018;11513102;78,3;5,9;8,8;191,5
BRA;Brazil;6901952;181402;211049519;86,0;8,5;20,0;148,1
BRB;Barbados;292;7;287021;2,4;7,0;24,9;104,3
BRN;Brunei_Darussalam;152;3;433296;0,7;2,2;15,7;94,0
BTN;Bhutan;438;0;763094;0,0;3,4;3,7;218,3
BWA;Botswana;12501;37;2303703;1,6;5,9;3,8;291,4
CAF;Central_African_Republic;4936;63;4745179;1,3;5,4;0,7;442,2
