Emp_Id;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;Department;salary
IND02438;0,38;0,53;2;157;3;0;1;0;sales;low
IND28133;0,80;0,86;5;262;6;0;1;0;sales;medium
IND07164;0,11;0,88;7;272;4;0;1;0;sales;medium
IND30478;0,72;0,87;5;223;5;0;1;0;sales;low
IND24003;0,37;0,52;2;159;3;0;1;0;sales;low
IND08609;0,41;0,50;2;153;3;0;1;0;sales;low
IND14345;0,10;0,77;6;247;4;0;1;0;sales;low
IND16300;0,92;0,85;5;259;5;0;1;0;sales;low
IND27336;0,89;1,00;5;224;5;0;1;0;sales;low
IND41409;0,42;0,53;2;142;3;0;1;0;sales;low
IND01460;0,45;0,54;2;135;3;0;1;0;sales;low
IND07665;0,11;0,81;6;305;4;0;1;0;sales;low
IND13556;0,84;0,92;4;234;5;0;1;0;sales;low
IND20559;0,41;0,55;2;148;3;0;1;0;sales;low
IND12896;0,36;0,56;2;137;3;0;1;0;sales;low
IND18204;0,38;0,54;2;143;3;0;1;0;sales;low
IND43525;0,45;0,47;2;160;3;0;1;0;sales;low
IND21424;0,78;0,99;4;255;6;0;1;0;sales;low
IND40030;0,45;0,51;2;160;3;1;1;1;sales;low
IND22302;0,76;0,89;5;262;5;0;1;0;sales;low
IND24750;0,11;0,83;6;282;4;0;1;0;sales;low
IND08173;0,38;0,55;2;147;3;0;1;0;sales;low
IND21310;0,09;0,95;6;304;4;0;1;0;sales;low
IND24366;0,46;0,57;2;139;3;0;1;0;sales;low
IND06318;0,40;0,53;2;158;3;0;1;0;sales;low
IND22204;0,89;0,92;5;242;5;0;1;0;sales;low
IND41510;0,82;0,87;4;239;5;0;1;0;sales;low
IND02947;0,40;0,49;2;135;3;0;1;0;sales;low
IND21633;0,41;0,46;2;128;3;0;1;0;accounting;low
IND41210;0,38;0,50;2;132;3;0;1;0;accounting;low
IND17550;0,09;0,62;6;294;4;0;1;0;accounting;low
IND30016;0,45;0,57;2;134;3;0;1;0;hr;low
IND31764;0,40;0,51;2;145;3;0;1;0;hr;low
IND21118;0,45;0,55;2;140;3;0;1;0;hr;low
IND13230;0,84;0,87;4;246;6;0;1;0;hr;low
IND23503;0,10;0,94;6;255;4;0;1;0;technical;low
IND23009;0,38;0,46;2;137;3;0;1;0;technical;low
IND16251;0,45;0,50;2;126;3;0;1;0;technical;low
IND31502;0,11;0,89;6;306;4;0;1;0;technical;low
IND38874;0,41;0,54;2;152;3;0;1;0;technical;low
IND04297;0,87;0,88;5;269;5;0;1;0;technical;low
IND29124;0,45;0,48;2;158;3;0;1;0;technical;low
IND40935;0,40;0,46;2;127;3;0;1;0;technical;low
IND0463;0,10;0,80;7;281;4;0;1;0;technical;low
IND19955;0,09;0,89;6;276;4;0;1;0;technical;low
IND29898;0,84;0,74;3;182;4;0;1;0;technical;low
IND38961;0,40;0,55;2;147;3;0;1;0;support;low
IND44725;0,57;0,70;3;273;6;0;1;0;support;low
IND02198;0,40;0,54;2;148;3;0;1;0;support;low
IND24197;0,43;0,47;2;147;3;0;1;0;support;low
IND01835;0,13;0,78;6;152;2;0;1;0;support;low
IND09516;0,44;0,55;2;135;3;0;1;0;support;low
IND40870;0,38;0,55;2;134;3;0;1;0;support;low
IND21560;0,39;0,54;2;132;3;0;1;0;support;low
IND25217;0,10;0,92;7;307;4;0;1;0;support;low
IND37503;0,37;0,46;2;140;3;0;1;0;support;low
IND15216;0,11;0,94;7;255;4;0;1;0;support;low
IND21703;0,10;0,81;6;309;4;0;1;0;technical;low
IND25958;0,38;0,54;2;128;3;0;1;0;technical;low
IND30439;0,85;1,00;4;225;5;0;1;0;technical;low
IND32895;0,85;0,91;5;226;5;0;1;0;management;medium
IND36072;0,11;0,93;7;308;4;0;1;0;IT;medium
IND43578;0,10;0,95;6;244;5;0;1;0;IT;medium
IND30248;0,36;0,56;2;132;3;0;1;0;IT;medium
IND38757;0,11;0,94;6;286;4;0;1;0;IT;medium
IND26312;0,81;0,70;6;161;4;0;1;0;IT;medium
IND0234;0,43;0,54;2;153;3;0;1;0;product_mng;medium
IND18896;0,90;0,98;4;264;6;0;1;0;product_mng;medium
IND06323;0,76;0,86;5;223;5;1;1;0;product_mng;medium
IND09616;0,43;0,50;2;135;3;0;1;0;product_mng;medium
IND05081;0,74;0,99;2;277;3;0;1;0;IT;medium
IND20622;0,09;0,77;5;275;4;0;1;0;product_mng;medium
IND24625;0,45;0,49;2;149;3;0;1;0;product_mng;high
IND34139;0,09;0,87;7;295;4;0;1;0;product_mng;low
IND11972;0,11;0,97;6;277;4;0;1;0;product_mng;medium
IND08365;0,11;0,79;7;306;4;0;1;0;product_mng;medium
