SpatialDimValueCode;Period;PIB_Salud
MAR;2020;5,5
AGO;2020;2,6
DOM;2020;5,8
AFG;2020;9,5
ALB;2020;5,1
AND;2020;6,3
ARE;2020;3,7
ARG;2020;9,7
ARM;2020;9,9
ATG;2020;5,4
AUS;2020;8,9
AUT;2020;10,3
AZE;2020;3,3
BDI;2020;8,2
BEL;2020;10,4
BEN;2020;2,9
BFA;2020;6,0
BGD;2020;2,4
BGR;2020;7,4
BHR;2020;4,3
BHS;2020;5,7
BIH;2020;9,2
BLR;2020;5,6
BLZ;2020;5,7
BOL;2020;5,9
BRA;2020;8,5
BRB;2020;7,0
BRN;2020;2,2
BTN;2020;3,4
BWA;2020;5,9
CAF;2020;5,4
CAN;2020;10,6
CHE;2020;11,1
CHL;2020;7,9
CHN;2020;4,8
CIV;2020;5,1
CMR;2020;3,8
COD;2020;3,7
COG;2020;2,6
COL;2020;7,2
COM;2020;4,8
CPV;2020;5,0
CRI;2020;7,8
CUB;2020;11,3
CYP;2020;6,7
CZE;2020;7,3
DEU;2020;11,1
DJI;2020;2,9
DMA;2020;5,5
DNK;2020;10,2
DZA;2020;6,1
ECU;2020;8,2
EGY;2020;4,9
ERI;2020;4,3
ESP;2020;9,1
EST;2020;6,2
ETH;2020;4,1
FIN;2020;9,4
FJI;2020;3,3
FRA;2020;11,4
GAB;2020;2,7
GBR;2020;10,0
GEO;2020;8,2
GHA;2020;4,1
GIN;2020;4,3
GMB;2020;3,7
GNB;2020;7,2
GNQ;2020;2,3
GRC;2020;8,4
GRD;2020;5,1
GTM;2020;5,9
GUY;2020;5,5
HND;2020;8,0
HRV;2020;7,1
HTI;2020;8,4
HUN;2020;7,1
IDN;2020;3,0
IND;2020;3,5
IRL;2020;9,0
IRN;2020;7,4
IRQ;2020;3,2
ISL;2020;8,3
ISR;2020;7,2
ITA;2020;8,8
JAM;2020;5,5
JOR;2020;7,8
JPN;2020;10,6
KAZ;2020;2,9
KEN;2020;5,4
KGZ;2020;7,2
KHM;2020;6,6
KNA;2020;5,3
KOR;2020;6,6
KWT;2020;3,6
LAO;2020;2,4
LBN;2020;7,9
LBR;2020;8,8
LBY;2020;4,8
LCA;2020;5,1
LKA;2020;3,8
LSO;2020;8,6
LTU;2020;6,5
LUX;2020;5,6
LVA;2020;5,8
MCO;2020;2,0
MDA;2020;8,4
MDG;2020;5,1
MDV;2020;8,7
MEX;2020;5,7
MHL;2020;15,8
MKD;2020;6,5
MLI;2020;4,1
MLT;2020;8,9
MMR;2020;3,8
MNE;2020;8,4
MNG;2020;4,0
MOZ;2020;6,8
MRT;2020;4,0
MUS;2020;5,1
MWI;2020;9,2
MYS;2020;3,6
NAM;2020;8,9
NER;2020;6,6
NGA;2020;3,5
NIC;2020;7,9
NLD;2020;10,3
NOR;2020;9,5
NPL;2020;5,6
NZL;2020;9,4
OMN;2020;3,4
PAK;2020;2,7
PAN;2020;6,9
PER;2020;4,9
PHL;2020;4,3
PNG;2020;2,5
POL;2020;6,4
PRT;2020;9,3
PRY;2020;6,2
QAT;2020;2,4
ROU;2020;5,1
RUS;2020;5,1
RWA;2020;7,5
SAU;2020;5,1
SDN;2020;5,9
SEN;2020;4,2
SGP;2020;3,9
SLB;2020;5,9
SLE;2020;15,1
SLV;2020;7,7
SMR;2020;7,3
SRB;2020;9,0
SSD;2020;7,4
STP;2020;6,6
SUR;2020;5,6
SVK;2020;7,2
SVN;2020;8,5
SWE;2020;10,5
SWZ;2020;7,4
SYC;2020;4,9
SYR;2020;3,4
TCD;2020;4,2
TGO;2020;6,2
THA;2020;3,6
TJK;2020;6,6
TLS;2020;2,9
TTO;2020;5,8
TUN;2020;6,8
TUR;2020;4,4
TZA;2020;4,3
UGA;2020;7,5
UKR;2020;7,3
URY;2020;9,0
USA;2020;16,6
UZB;2020;5,2
VCT;2020;4,4
VEN;2020;5,8
VNM;2020;5,9
VUT;2020;3,5
YEM;2020;5,0
ZAF;2020;7,9
ZMB;2020;4,2
ZWE;2020;7,4
