countryterritoryCode;countriesAndTerritories;CasosCovid;MuertesCovid;Poblacion_2019;TasaMortalidadCovid;GastoSalud_PIB;Mortalidad2020_OtrasEnfermedades
ALB;Albania;48530;1003;2862427;35,0;5,1;3493,7
ARM;Armenia;148682;2503;2957728;84,6;9,9;3703,5
AUS;Australia;28031;908;25203200;3,6;8,9;24913,0
AUT;Austria;320036;4400;8858775;49,7;10,3;9569,4
AZE;Azerbaijan;175874;1922;10047719;19,1;3,3;13123,6
BLR;Belarus;160295;1263;9452409;13,4;5,6;5131,4
BEL;Belgium;608001;17951;11455519;156,7;10,4;13450,0
BOL;Bolivia;147150;9018;11513102;78,3;5,9;14677,0
BRA;Brazil;6901952;181402;211049519;86,0;8,5;295124,0
BGR;Bulgaria;179449;5688;7000039;81,3;7,4;7845,8
CAN;Canada;460743;13431;37411038;35,9;10,6;39446,4
CHL;Chile;571919;15886;18952035;83,8;7,9;19216,4
COL;Colombia;1425774;39053;50339443;77,6;7,2;54645,5
HRV;Croatia;175886;2640;4076246;64,8;7,1;4422,3
CUB;Cuba;9423;137;11333484;1,2;11,3;11667,8
CYP;Cyprus;15101;78;875899;8,9;6,7;1264,6
CZE;Czechia;581079;9609;10649800;90,2;7,3;11628,6
DNK;Denmark;109758;941;5806081;16,2;10,2;5850,4
ECU;Ecuador;202110;13875;17373657;79,9;8,2;24212,3
EGY;Egypt;121575;6920;100388076;6,9;4,9;103317,1
EST;Estonia;18055;149;1324820;11,2;6,2;1389,8
FIN;Finland;30810;453;5517919;8,2;9,4;5733,7
FRA;France;2376852;57911;67012883;86,4;11,4;66124,3
GEO;Georgia;191063;1839;3996762;46,0;8,2;4171,7
DEU;Germany;1337078;21975;83019213;26,5;11,1;87352,1
GRC;Greece;124534;3625;10724599;33,8;8,4;10876,9
GTM;Guatemala;129282;4423;17581476;25,2;5,9;18673,4
HUN;Hungary;283870;7130;9772756;73,0;7,1;10188,7
ISL;Iceland;5557;28;356991;7,8;8,3;346,5
IRN;Iran;1108269;52196;82913893;63,0;7,4;62643,3
IRL;Ireland;76185;2124;4904240;43,3;9,0;4616,6
ISR;Israel;357859;2999;8519373;35,2;7,2;8649,0
ITA;Italy;1843712;64520;60359546;106,9;8,8;65168,6
JAM;Jamaica;11710;273;2948277;9,3;5,5;2529,4
JPN;Japan;179653;2585;126860299;2,0;10,6;126159,1
KAZ;Kazakhstan;186277;2552;18551428;13,8;2,9;22243,7
KGZ;Kyrgyzstan;77674;1312;6415851;20,4;7,2;7450,8
LVA;Latvia;25675;349;1919968;18,2;5,8;1976,6
LTU;Lithuania;95021;825;2794184;29,5;6,5;3144,0
LUX;Luxembourg;41272;396;613894;64,5;5,6;613,4
MYS;Malaysia;83475;415;31949789;1,3;3,6;31978,0
MLT;Malta;11101;166;493559;33,6;8,9;469,7
MUS;Mauritius;515;10;1269670;0,8;5,1;1255,9
MEX;Mexico;1250044;113953;127575529;89,3;5,7;166791,7
MNG;Mongolia;912;0;3225166;0,0;4,0;2984,5
MNE;Montenegro;41426;582;622182;93,5;8,4;647,4
NLD;Netherlands;612746;10034;17282163;58,1;10,3;18179,4
NIC;Nicaragua;5887;162;6545503;2,5;7,9;6050,2
NOR;Norway;40022;387;5328212;7,3;9,5;5418,4
OMN;Oman;126240;1471;4974992;29,6;3,4;5284,0
PAN;Panama;193007;3356;4246440;79,0;6,9;4285,3
PRY;Paraguay;93582;1953;7044639;27,7;6,2;7140,8
PER;Peru;984973;36677;32510462;112,8;4,9;50468,7
PHL;Philippines;449400;8733;108116622;8,1;4,3;112458,0
POL;Poland;1135676;22864;37972812;60,2;6,4;43010,9
PRT;Portugal;348744;5559;10276617;54,1;9,3;11022,3
QAT;Qatar;140961;240;2832071;8,5;2,4;3072,7
ROU;Romania;556335;13385;19414458;68,9;5,1;21552,2
RUS;Russia;2653928;46941;145872260;32,2;5,1;168299,8
SRB;Serbia;266432;2331;6963764;33,5;9,0;9673,2
SYC;Seychelles;187;0;97741;0,0;4,9;81,6
SGP;Singapore;58320;29;5804343;0,5;3,9;5960,7
SVK;Slovakia;132984;1175;5450421;21,6;7,2;6073,1
SVN;Slovenia;96314;1459;2080908;70,1;8,5;2316,7
ESP;Spain;1730575;47624;46937060;101,5;9,1;51087,9
SWE;Sweden;320098;7514;10230185;73,4;10,5;10324,0
CHE;Switzerland;372329;5378;8544527;62,9;11,1;9138,5
TJK;Tajikistan;12704;88;9321023;0,9;6,6;11577,3
THA;Thailand;4237;60;69625581;0,1;3,6;68961,3
TUN;Tunisia;111361;3894;11694721;33,3;6,8;11623,3
UKR;Ukraine;900666;15247;43993643;34,7;7,3;45544,0
URY;Uruguay;9708;92;3461731;2,7;9,0;3236,7
UZB;Uzbekistan;75094;612;32981715;1,9;5,2;37346,7
